8.38 ,"84,877 ",DevX Energy Common Raptor I,"1,267 ","5,067 ","5,701 ","5,067 ","5,067 ",,,,,DevX Energy Common Raptor I,,,,,,,,,,,,,,,DevX Energy Common Raptor I," 3,800.48 ",633 ,"1,900 ",0 ,"1,267 ","1,267 ","3,167 ","(3,800)","6,017 ",317 ,(633),0 ,(633),"1,267 ","(1,267)","(1,267)","(1,900)","1,267 ","1,267 ",(633),(633),"2,534 ",633 ,0 ,"(1,900)",0 ,0 ,"(1,900)","(3,167)",(633),"1,900 ",0 ,"3,167 ",(663),0 ,"2,534 ",0 ,"1,900 ",(633),"(15,938)","(8,602)",0 ,"17,204 ","(4,301)","4,301 ","(8,602)","17,204 ","17,204 ","8,602 ","(34,409)",0 ,"(25,806)",0 ,0 ,"25,806 ",0 ,0 ,"4,301 ","(4,301)",,,"8,602 ","(8,602)","8,602 ","(4,301)","4,301 ","(8,602)","8,602 ","(17,204)","17,204 ","(34,409)","17,204 ","15,054 ","635,249 ",0 ,"(22,023)","(14,682)","(44,046)","7,341 ","36,705 ","7,341 ","66,069 ","(73,410)","36,705 ","(13,764)","13,764 ","36,705 ",0 ,"(66,069)","29,364 ",0 ,"(73,410)","73,410 ","(36,705)",0 ,"(36,705)","(36,705)","36,705 ","(73,410)","36,705 ",0 ,"(14,682)","14,682 ",0 ,"36,705 ","(36,705)","(29,364)","(36,705)",0 ,"(7,341)","(36,705)","(36,705)","(36,705)","110,115 ",0 ,"(73,410)","73,410 ","36,705 ","(73,410)","(66,069)",0 ,"(44,046)","73,410 ",0 ,"(36,705)","(36,705)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.63 ,"336,887 ",Paradigm Common Raptor I,"11,230 ","14,973 ","37,432 ","67,377 ","67,377 ",,,,,Paradigm Common Raptor I,,,,,,,,,,,,,,,Paradigm Common Raptor I," 3,743.19 ",0 ,"(7,486)","(11,230)","22,459 ","14,973 ",0 ,"7,486 ",0 ,0 ,0 ,"(3,743)","3,743 ",0 ,"11,230 ","26,202 ","(7,486)","(14,973)",0 ,"7,486 ","14,973 ",0 ,0 ,"(22,459)",0 ,"7,486 ",0 ,"22,459 ","(14,973)",0 ,"14,973 ","(29,946)",0 ,"24,331 ","(5,615)","(11,230)","7,486 ",0 ,"(7,486)","(14,973)","(3,743)","11,230 ","(3,743)",0 ,"(3,743)",0 ,0 ,"7,486 ","11,230 ","(11,230)",0 ,"(14,973)","(11,230)","(3,743)","(26,202)",0 ,0 ,"16,844 ","(5,615)","11,230 ","(26,202)",,,"5,615 ","(13,101)",0 ,0 ,"14,973 ","(14,973)","29,946 ","7,486 ",0 ,"(29,946)","14,973 ","(16,844)","16,844 ",0 ,"(7,486)",0 ,"(7,486)","11,230 ","3,743 ",0 ,"(26,202)","(11,230)","(7,486)","22,459 ","(14,973)","(11,230)","(41,175)","29,946 ","3,743 ",0 ,"3,743 ","7,486 ","(7,486)","(14,973)","(14,973)","52,405 ",0 ,"(1,872)","1,872 ","7,486 ","(7,486)",0 ,"(7,486)","7,486 ",0 ,"(7,486)","14,973 ",0 ,"(3,743)","(11,230)","(7,486)",0 ,"22,459 ","(5,615)",0 ,"31,817 ",0 ,"(11,230)","(14,973)","(3,743)","(14,973)","3,743 ","14,973 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.46 ,"127,469,516 ",Hanover Compressor Common Raptor II,"33,143 ","5,302,944 ","298,291 ","(21,261,491)","(21,261,491)",,,,,Hanover Compressor Common Raptor II,,,,,,,,,,,,,,,Hanover Compressor Common Raptor II," 5,269,800.60 ","2,353,181 ","(861,728)","165,717 ","3,612,631 ","(6,230,959)","1,624,027 ","(397,721)","2,253,751 ","662,868 ","1,002,588 ","2,692,901 ","2,071,463 ","414,293 ","5,178,656 ","621,439 ","207,146 ","(3,521,486)","(3,521,486)","(2,485,755)","(5,385,803)","(207,146)","(21,543,210)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.46 ,"76,736,623 ",Hanover Compressor Common EGF Raptor II,"19,952 ","3,192,371 ","179,571 ","(12,799,413)","(12,799,413)",,,,,Hanover Compressor Common EGF Raptor II,,,,,,,,,,,,,,,Hanover Compressor Common EGF Raptor II," 3,172,418.88 ","1,416,615 ","(518,760)","99,762 ","2,174,803 ","(3,751,036)","977,664 ","(239,428)","1,356,758 ","399,046 ","603,558 ","1,621,126 ","1,247,020 ","249,404 ","3,117,550 ","374,106 ","124,702 ","(2,119,934)","(2,119,934)","(1,496,424)","(3,242,252)","(124,702)","(12,969,008)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.38 ,"51,096 ",DevX Energy Common EGF Raptor I,763 ,"3,051 ","3,432 ","3,051 ","3,051 ",,,,,DevX Energy Common EGF Raptor I,,,,,,,,,,,,,,,DevX Energy Common EGF Raptor I," 2,287.89 ",381 ,"1,144 ",0 ,763 ,763 ,"1,907 ","(2,288)","3,622 ",191 ,(381),0 ,(381),763 ,(763),(763),"(1,144)",763 ,763 ,(381),(381),"1,525 ",381 ,0 ,"(1,144)",0 ,0 ,"(1,144)","(1,907)",(381),"1,144 ",0 ,"1,907 ",(399),0 ,"1,525 ",0 ,"1,144 ",(381),"(9,594)","(5,179)",0 ,"10,357 ","(2,589)","2,589 ","(5,179)","10,357 ","10,357 ","5,179 ","(20,714)",0 ,"(15,536)",0 ,0 ,"15,536 ",0 ,0 ,"2,589 ","(2,589)",,,"5,179 ","(5,179)","5,179 ","(2,589)","2,589 ","(5,179)","5,179 ","(10,357)","10,357 ","(20,714)","10,357 ","9,062 ","382,420 ",0 ,"(13,258)","(8,839)","(26,516)","4,419 ","22,096 ","4,419 ","39,773 ","(44,193)","22,096 ","(8,286)","8,286 ","22,096 ",0 ,"(39,773)","17,677 ",0 ,"(44,193)","44,193 ","(22,096)",0 ,"(22,096)","(22,096)","22,096 ","(44,193)","22,096 ",0 ,"(8,839)","8,839 ",0 ,"22,096 ","(22,096)","(17,677)","(22,096)",0 ,"(4,419)","(22,096)","(22,096)","(22,096)","66,289 ",0 ,"(44,193)","44,193 ","(88,385)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.88 ,"26,081,671 ",Avici EBS Raptor I,"(1,297,256)","(8,466,302)","(12,699,452)","(813,506)","(813,506)",,,,,Avici EBS Raptor I,,,,,,,,,,,,,,,Avici EBS Raptor I," (7,169,045.63)","(477,936)","(2,253,129)","(3,891,768)","(546,213)","(3,140,725)","(1,433,809)","341,383 ","3,550,385 ","273,107 ","819,320 ","(409,660)","(1,980,022)","(3,891,768)","8,875,961 ","(2,526,235)","(3,140,725)","(955,873)","1,092,426 ","(3,482,108)","1,706,916 ","5,940,380 ","4,305,365 ","7,038,930 ","(1,708,478)","(3,963,669)","(1,161,765)","3,006,922 ","(1,503,461)","(3,143,600)","2,460,209 ","(1,093,426)","1,435,122 ","5,603,808 ","1,025,087 ","(4,305,365)","(5,603,808)","(3,621,974)","(2,255,191)","(4,783,739)","(2,801,904)","(2,323,530)","3,758,652 ","4,783,739 ","2,391,869 ","683,391 ","15,034,608 ","(4,100,348)","683,391 ","1,503,461 ","2,938,582 ","(3,006,922)","(3,621,974)","1,503,461 ","(5,193,774)","2,460,209 ","(5,057,095)","(6,970,591)","(5,672,147)","(2,801,904)","3,621,974 ","(1,708,478)","(3,963,669)","939,663 ","(4,014,924)","2,801,904 ","(5,877,165)","5,057,095 ","6,492,217 ","(3,758,652)","3,690,313 ","(5,877,165)","1,366,783 ","(8,337,373)","(12,164,364)","(5,603,808)","820,070 ","2,186,852 ","(7,380,626)","(9,020,765)","(5,945,504)","5,125,434 ","4,920,417 ","(2,528,548)","10,729,243 ","(8,747,408)","(751,730)","(4,168,687)","1,076,341 ","(3,878,245)","4,032,008 ","(16,128,034)","(8,474,052)","1,435,122 ","(3,553,635)","(12,215,619)","529,628 ","5,330,452 ","(1,571,800)","8,610,730 ","17,289,799 ","(7,790,660)","(5,057,095)","(1,640,139)","(410,035)","(15,376,303)","(12,386,466)","(9,413,714)","6,150,521 ","(2,870,243)","(12,027,686)","(6,355,539)","16,743,086 ","(30,615,928)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$270,530,317 ",Enron RAPTOR I & II - US Public Positions Total,"($2,893,444)","($3,209,162)","($18,922,301)","($39,682,837)","($39,682,837)",,,,,,,,,,,,,,,,,,,,,,"$1,199,323 ","($4,539,849)","($4,889,856)","$7,914,664 ","($13,336,948)","$207,346 ","($2,583,537)","$6,731,203 ","$5,179,488 ","$2,882,750 ","$7,215,061 ","($2,994,355)","($4,506,586)","$15,163,200 ","($3,628,276)","($290,686)","($3,802,192)","($7,662,540)","($3,205,632)","($5,957,756)","$8,293,453 ","($31,019,304)","$6,833,334 ","($2,073,864)","($5,287,606)","($1,959,505)","$3,325,775 ","($3,996,499)","($7,419,810)","$8,109,578 ","$854,106 ","$4,938,454 ","$6,181,562 ","$8,028,280 ","($7,343,945)","($6,713,157)","($5,373,956)","($5,390,602)","($48,564,101)","($3,457,619)","($5,822,354)","$6,893,654 ","$8,872,925 ","($2,152,098)","$3,536,967 ","$18,569,219 ","($3,181,779)","$4,455,524 ","$398,546 ","$1,820,996 ","($6,256,446)","($5,313,712)","$3,653,614 ","($7,329,527)","$3,418,998 ","($6,417,758)","($8,941,205)","($5,683,151)",$0 ,"$164,405,802 ",$0 ,$0 ,"($2,955,121)","($5,708,666)","$1,613,687 ","($9,726,102)","$2,624,120 ","$2,942,633 ","($4,571,900)","$6,354,990 ","($11,754,377)","($1,118,046)","($7,788,631)","($19,284,843)","$3,548,004 ","($320,286)","$3,543,984 ","($3,771,529)","($13,204,226)","($14,459,076)","$6,830,498 ","$13,654,718 ","$6,206,919 ","$11,016,560 ","($16,629,713)","($4,259,546)","($10,172,712)","($8,216,235)","($7,697,023)","($2,959,654)","($18,322,022)","($4,595,811)","($5,161,399)","($2,508,336)","($14,356,029)","($2,894,651)","$3,941,353 ","$1,632,232 ","$6,836,232 ","$16,094,322 ","($12,762,799)","$1,757,700 ","($6,911,203)","$8,363,885 ","($14,666,944)","($9,620,681)","($15,855,325)","$6,729,082 ","($1,714,280)","($10,612,985)","($12,699,697)","$30,019,602 ","($33,566,424)","$11,859,504 ","$5,963,288 ","($2,323,037)","$425,241 ","$5,235,617 ","($3,756,792)","($624,013)","($2,239,999)","$5,458,391 ","($7,785,487)","($39,475)","$556,711 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    Enron RAPTOR - Warrants Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.64 ,"866,245 ",Carrizo Warrants Raptor I,"(25,492)","(185,160)","(100,240)","(78,445)","(78,445)",,,,,Carrizo Warrants Raptor I,,,,,,,,,,,,,,,Carrizo Warrants Raptor I," (159,668.07)","(29,260)","(23,086)","(32,998)","(74,324)","93,675 ","(73,378)","64,623 ","(10,958)","(114,716)","18,820 ","37,248 ","19,256 ","37,469 ","57,115 ","55,697 ","(110,485)","(114,657)","54,875 ","(38,000)","44,275 ","88,932 ","(35,751)","57,728 ","8,101 ","(11,676)","71,632 ","(92,729)",(379),"55,153 ",618 ,"(73,299)","147,031 ","36,533 ","(93,141)","(57,622)","(65,027)","119,990 ","(112,424)","(57,377)","111,007 ","(187,909)","225,031 ","19,205 ","37,009 ","(75,693)","91,076 ","54,325 ","(17,397)","(131,285)","54,655 ","(84,738)","8,983 ","110,433 ","(74,160)","56,036 ","(149,517)","(93,773)","(38,589)","46,409 ","9,433 ","17,954 ","(39,013)",(100),"(18,989)","(56,892)","123,119 ","(45,751)",(273),"74,524 ",(75),"(19,033)","75,553 ","65,217 ","(64,329)","(55,821)","(76,316)",(147),"(113,290)","(85,504)","(20,702)","(27,946)","(114,979)","112,984 ","75,551 ",(459),"94,704 ","(77,781)","(76,339)","(76,054)","(36,904)","(271,063)","653,431 ","14,278 ","(18,962)","55,516 ","(84,963)","(180,796)","(133,920)","(56,643)","(85,727)","134,041 ","123,705 ","9,707 ","18,082 ","(143,276)","133,966 ","(95,948)","219,223 ","47,511 ","(113,987)","(1,406)","(30,200)","(76,362)","67,202 ","133,128 ","(18,965)","(38,736)","(190,431)","287,248 ","124,858 ","202,276 ","46,209 ","(64,662)","97,706 ","23,235 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.31 ,"206,375 ",3TEC Warrants Raptor I,(524),"14,849 ","33,731 ","(5,390)","(5,390)",,,,,3TEC Warrants Raptor I,,,,,,,,,,,,,,,3TEC Warrants Raptor I," 15,373.04 ","5,494 ","(1,985)","5,648 ","6,216 ","7,428 ","(12,944)","24,398 ","25,909 ","(17,063)","4,895 ","3,275 ","1,709 ","(5,219)","(1,314)","(2,240)","(10,820)","4,258 ","(59,379)","9,738 ","3,410 ","30,132 ","2,643 ","21,749 ","2,504 ","(1,718)","(3,409)","(13,447)","(34,734)","(11,104)","86,111 ","13,385 ","(2,611)","10,840 ","(15,049)","3,784 ","9,545 ","(11,988)",(488),"5,909 ","(5,577)","(1,842)","(5,241)",197 ,"1,665 ","12,194 ","(4,055)",875 ,"(1,329)",559 ,"(2,297)",(649),(547),(588),"3,131 ","3,376 ","(7,087)",(70),"1,234 ","(2,088)","3,252 ","(10,841)",944 ,"1,539 ","13,140 ","10,923 ","(35,002)","22,600 ","(11,915)","(4,022)","19,792 ","15,101 ","(9,037)","(35,330)","14,266 ","(10,284)",895 ,"(3,770)",7 ,"33,421 ","(7,130)","(9,929)","(28,576)","23,933 ","2,323 ","23,079 ","(9,949)","(1,322)","(17,014)","(1,700)","4,511 ","(3,315)","8,033 ","1,705 ","9,699 ","(10,394)","(36,349)","10,769 ","(3,936)","4,015 ",206 ,"(8,187)","(4,186)","(19,732)","18,998 ","11,138 ","(19,276)","(12,487)","12,039 ","20,986 ","(50,251)","(1,106)","13,406 ","13,884 ","(11,892)","29,265 ","11,034 ","6,644 ","9,571 ","(7,356)","11,728 ","(8,090)",(162),12 ,"20,088 ","29,227 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.31 ,"124,238 ",3TEC Warrants EGF Raptor I,(316),"8,939 ","20,306 ","(3,245)","(3,245)",,,,,3TEC Warrants EGF Raptor I,,,,,,,,,,,,,,,3TEC Warrants EGF Raptor I," 9,254.57 ","3,308 ","(1,195)","3,400 ","3,742 ","4,472 ","(7,792)","14,688 ","15,597 ","(10,272)","2,947 ","1,972 ","1,029 ","(3,142)",(791),"(1,349)","(6,513)","2,564 ","(35,746)","5,862 ","2,053 ","18,140 ","1,591 ","13,093 ","1,507 ","(1,034)","(2,052)","(8,095)","(20,910)","(6,684)","51,839 ","8,058 ","(1,572)","6,525 ","(9,059)","2,278 ","5,746 ","(7,217)",(294),"3,557 ","(3,357)","(1,109)","(3,155)",118 ,"1,002 ","7,341 ","(2,441)",527 ,(800),336 ,"(1,383)",(391),(329),(354),"1,885 ","2,032 ","(4,267)",(42),743 ,"(1,257)","1,958 ","(6,526)",568 ,927 ,"7,910 ","6,576 ","(21,071)","13,605 ","(7,173)","(2,421)","11,915 ","9,091 ","(5,440)","(21,269)","8,588 ","(6,191)",539 ,"(2,269)",4 ,"20,120 ","(4,292)","(5,977)","(17,203)","14,408 ","1,398 ","13,894 ","(5,989)",(796),"(10,242)","(1,023)","2,716 ","(1,996)","4,836 ","1,026 ","5,839 ","(6,506)","(21,929)","6,496 ","(2,374)","2,422 ",124 ,"(4,939)","(2,525)","(11,713)","11,459 ","6,719 ","(11,628)","(7,531)","7,261 ","12,659 ","(30,309)",(667),"8,085 ","8,374 ","(7,173)","17,652 ","6,657 ","37,209 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$1,196,857 ",Enron RAPTOR I & II - Warrants Public Positions Total,"($26,332)","($161,373)","($46,203)","($87,080)","($87,080)",,,,,,,,,,,,,,,,,,,,,,"($20,458)","($26,266)","($23,950)","($64,366)","$105,575 ","($94,115)","$103,709 ","$30,547 ","($142,051)","$26,662 ","$42,494 ","$21,994 ","$29,108 ","$55,010 ","$52,108 ","($127,818)","($107,835)","($40,250)","($22,400)","$49,738 ","$137,203 ","($31,517)","$92,570 ","$12,113 ","($14,428)","$66,170 ","($114,270)","($56,024)","$37,364 ","$138,567 ","($51,856)","$142,847 ","$53,898 ","($117,250)","($51,560)","($49,735)","$100,785 ","($113,205)","($47,911)","$102,073 ","($190,859)","$216,636 ","$19,520 ","$39,676 ","($56,157)","$84,580 ","$55,726 ","($19,526)","($130,390)","$50,975 ","($85,777)","$8,107 ","$109,491 ","($69,144)","$61,445 ","($160,871)","($93,885)","($36,612)",$0 ,"($513,380)",$0 ,$0 ,"$2,366 ","$2,061 ","($39,394)","$67,046 ","($9,546)","($19,361)","$68,081 ","$31,633 ","$5,159 ","$61,076 ","$8,618 ","($41,475)","($72,295)","($74,883)","($6,186)","($113,279)","($31,963)","($32,124)","($43,853)","($160,758)","$151,325 ","$79,272 ","$36,513 ","$78,766 ","($79,898)","($103,595)","($78,777)","($29,678)","($276,374)","$666,300 ","$17,009 ","($3,424)","$38,617 ","($143,242)","($163,531)","($140,230)","($50,206)","($85,398)","$120,915 ","$116,994 ","($21,738)","$48,540 ","($125,419)","$103,062 ","($115,966)","$105,754 ","$168,682 ","($311,019)","$152,878 ","($185,274)","$19,475 ","$190,949 ","$208,285 ","($56,374)","($138,808)","($125,105)","$394,690 ","$150,072 ","$215,519 ","($23,115)","($64,171)","$118,721 ","$51,460 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    Enron RAPTOR - US Structured Credit Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00 ,"2,013,592 ",LSI Preferred Raptor I,0 ,0 ,0 ,0 ,0 ,,,,,LSI Preferred Raptor I,,,,,,,,,,,,,,,LSI Preferred Raptor I, -   ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(9,338)","1,332 ","(3,799)","6,825 ","2,894 ","2,086 ","3,274 ","1,178 ","2,839 ",743 ,599 ,"2,260 ","298,461 ","1,300 ","1,359 ","2,483 ","(32,513)",781 ,"4,404 ","(10,894)","4,393 ","9,325 ","4,903 ",3 ,"6,125 ","2,689 ","6,270 ","2,459 ","2,085 ",650 ,"8,248 ","4,345 ","2,809 ","2,032 ","1,597 ","5,723 ","1,347 ","2,116 ","(182,604)","1,968 ","5,478 ","2,487 ","5,789 ","1,898 ","1,665 ","11,155 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$2,013,592 ",Enron RAPTOR I & II - US SC Book Public Positions Total,$0 ,$0 ,$0 ,$0 ,$0 ,,,,,,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"($191,228)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"($9,338)","$1,332 ","($3,799)","$6,825 ","$2,894 ","$2,086 ","$3,274 ","$1,178 ","$2,839 ",$743 ,$599 ,"$2,260 ","$298,461 ","$1,300 ","$1,359 ","$2,483 ","($32,513)",$781 ,"$4,404 ","($10,894)","$4,393 ","$9,325 ","$4,903 ",$3 ,"$6,125 ","$2,689 ","$6,270 ","$2,459 ","$2,085 ",$650 ,"$8,248 ","$4,345 ","$2,809 ","$2,032 ","$1,597 ","$5,723 ","$1,347 ","$2,116 ","($182,604)","$1,968 ","$5,478 ","$2,487 ","$5,789 ","$1,898 ","$1,665 ","$11,155 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
